"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/LevelLayout/Mats/Plastic.Plastic","0","14","1","1","25.578613","0","93"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","5","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","12","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","5","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","153","1","0.000000","0","0"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","0","4","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","69","1","0.000000","0","0"
"/Game/Puzzles/Battery_Chase/MAT_Yellow.MAT_Yellow","0","0","42","1","0.000000","0","0"
"/Game/Characters/Player/Mesh/lambert1.lambert1","0","0","42","1","0.000000","0","0"
"/Game/MAT_WHITE.MAT_WHITE","0","0","14","1","0.000000","0","0"
"/Game/MAT_WHITE1.MAT_WHITE1","0","0","14","1","0.000000","0","0"
"/Game/Puzzles/MAT_RED.MAT_RED","0","0","23","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Park/ParkFillerBackground.ParkFillerBackground","0","0","14","1","0.000000","0","0"
"/Game/Sticky/MAT_Bark.MAT_Bark","0","0","14","1","0.000000","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","0","4","1","0.000000","0","0"
"/Game/Sticky/MAT_Sticky.MAT_Sticky","0","0","23","1","0.000000","0","0"
"/Game/Characters/Player/Animations/Arm_Material.Arm_Material","0","0","28","1","0.000000","0","0"
"/Game/LevelLayout/Mats/BulbWire.BulbWire","0","0","14","1","0.000000","0","0"
"/Game/LevelLayout/Mats/EmissivePlaceholder.EmissivePlaceholder","0","0","29","1","0.000000","0","0"
"/Game/LevelLayout/Mats/Glass_MASTER.Glass_MASTER","0","0","36","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","45","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","0","35","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","28","1","0.000000","0","0"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","112","6","0.000000","0","10"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","37","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","46","2","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","53","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","26","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","117","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","139","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","145","1","0.000000","0","0"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","839","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","29","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","6","1","0.000000","0","0"
"/Game/Puzzles/Obelisk/Button/LETTER_A/MAT_AND_LETTER_A.MAT_AND_LETTER_A","0","0","14","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Park/Bug.Bug","0","0","28","1","0.000000","0","0"
"/Game/Splat/MAT_Goo1.MAT_Goo1","0","0","48","1","0.000000","0","0"
"/Game/Splat/MAT_Hand_Trans.MAT_Hand_Trans","0","0","28","1","0.000000","0","0"
"/Game/Splat/MAT_Goo.MAT_Goo","0","0","50","1","0.000000","0","0"
"/Game/Splat/MAT_Goo_Trans.MAT_Goo_Trans","0","0","54","1","0.000000","0","0"
"/Game/Splat/MAT_Goo_NoSquish1.MAT_Goo_NoSquish1","0","0","44","1","0.000000","0","0"
"/Game/EnergizerDoors_Puzzle/Bullet.Bullet","0","0","56","1","0.000000","0","0"
"/Game/Noise_Radial_Mat.Noise_Radial_Mat","0","0","56","1","0.000000","0","0"
"/Game/Andrew/Materials/RedBall.RedBall","0","0","14","1","0.000000","0","0"
"/Game/Characters/Player/Mesh/SpaceArms_Mat.SpaceArms_Mat","0","0","28","1","0.000000","0","0"
"/Game/Puzzles/Battery_Chase/MAT_BUG_PH.MAT_BUG_PH","0","0","51","1","0.000000","0","0"
"/Game/Puzzles/Battery_Chase/MAT_ROBOTHAND_PH1.MAT_ROBOTHAND_PH1","0","0","42","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","0","23","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/Slim_Eyes.Slim_Eyes","0","0","28","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/SlimTextures/MAT_Robot_Bod.MAT_Robot_Bod","0","0","23","1","0.000000","0","0"
"/Game/Splat/MAT_Goo_NoSquish.MAT_Goo_NoSquish","0","0","44","1","0.000000","0","0"
"/Game/Characters/Player/Mesh/Raygun_Mat.Raygun_Mat","0","0","28","1","0.000000","0","0"
"/Game/EnergizerDoors_Puzzle/MAT_Energizer1.MAT_Energizer1","0","0","83","1","0.000000","0","0"
"/Game/EnergizerDoors_Puzzle/MAT_Energizer.MAT_Energizer","0","0","60","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Lab/Drone.Drone","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/WorldMovementGrid/GridMaterial.GridMaterial","0","0","5","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","0","0","23","1","0.000000","0","0"
"/Game/Puzzles/Obelisk/Obelisk_Mat.Obelisk_Mat","0","0","14","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Lab/Chair.Chair","0","0","23","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Lab/AlienTube.AlienTube","0","0","37","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Lab/Flask.Flask","0","0","23","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Lab/Erlenmeyer.Erlenmeyer","0","0","23","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Lab/TestTubes.TestTubes","0","0","23","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Park/Bench.Bench","0","0","23","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Park/Trashcan.Trashcan","0","0","23","1","0.000000","0","0"
"/Substance/Templates/parent_materials/Substance_Standard_Template.Substance_Standard_Template","0","0","23","1","0.000000","0","0"
"/Game/Characters/Red/Red_Metal_Mat.Red_Metal_Mat","0","0","28","1","0.000000","0","0"
"/Game/Characters/Red/Red_Mouth_Texture.Red_Mouth_Texture","0","0","28","1","0.000000","0","0"
"/Game/Splat/Splat_1.Splat_1","0","0","23","1","0.000000","0","0"
"/Game/Splat/Splat_2.Splat_2","0","0","23","1","0.000000","0","0"
"/Game/Splat/Splat_3.Splat_3","0","0","23","1","0.000000","0","0"
"/Game/Splat/Splat_4.Splat_4","0","0","23","1","0.000000","0","0"
"/Game/Characters/Red/Red_Blue_Mat.Red_Blue_Mat","0","0","28","1","0.000000","0","0"
"/Game/Characters/Red/Red_Body_Mat.Red_Body_Mat","0","0","28","1","0.000000","0","0"
"/Game/Characters/Red/Red_Sclera_Mat.Red_Sclera_Mat","0","0","28","1","0.000000","0","0"
"/Game/Characters/Red/Red_White_Mat.Red_White_Mat","0","0","28","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/Slim_Bod.Slim_Bod","0","0","28","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/Slim_Bot.Slim_Bot","0","0","28","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Lab/Platform.Platform","0","0","14","1","0.000000","0","0"
"/Game/Rooms_Assets/Materials/RoomMaterials/Park/Streetlight.Streetlight","0","0","14","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","58","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","84","1","0.000000","0","0"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","0","14","1","0.000000","0","0"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","0","16","1","0.000000","0","0"
"/Game/UI/Muzzle_FLash.Muzzle_FLash","0","0","56","1","0.000000","0","0"
"/Interchange/gltf/M_Unlit.M_Unlit","0","0","34","2","0.000000","0","0"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","0","24","1","0.000000","0","0"
